loanId,borrowerId,loanType,originationDate,maturityDate,originalPrincipal,currentBalance,interestRate,termMonths,borrowerState,loanPurpose,creditGrade,employmentLength,incomeBand,paymentStatus,daysPastDue,servicerName,lastPaymentDate
LN-10026,BRW-90026,Personal,2020-02-25,2024-02-04,13880,11461,11.55,60,IL,Credit Card Refinancing,E,< 1 year,0-50k,Current,0,PennyMac,2025-10-23
LN-10027,BRW-90027,Personal,2021-02-04,2025-12-11,41099,37383,17.58,60,NC,Credit Card Refinancing,B,10+ years,50k-100k,In Grace Period,0,Wells Fargo,2022-03-11
LN-10028,BRW-90028,Personal,2022-11-25,2025-02-14,33623,28602,6.06,60,GA,Debt Consolidation,D,8-10 years,0-50k,Fully Paid,0,Cenlar,2022-09-10
LN-10029,BRW-90029,Personal,2019-10-06,2027-10-09,11463,6693,5.05,60,NC,Major Purchase,D,< 1 year,0-50k,Charged Off,0,LoanCare,2025-04-11
LN-10030,BRW-90030,Personal,2022-03-28,2024-12-09,41752,35344,12.93,60,CA,Major Purchase,D,8-10 years,100k-150k,In Grace Period,0,Mr. Cooper,2024-07-14
LN-10031,BRW-90031,Personal,2018-06-17,2026-01-15,31945,19895,16.82,60,TX,Debt Consolidation,A,8-10 years,0-50k,Charged Off,0,LoanCare,2026-05-27
LN-10032,BRW-90032,Personal,2018-05-18,2028-07-24,5860,4195,11.87,60,NY,Medical Expenses,E,8-10 years,150k-200k,Charged Off,0,Wells Fargo,2025-08-13
LN-10033,BRW-90033,Personal,2019-01-10,2025-06-28,14427,12987,13.44,36,NY,Credit Card Refinancing,A,< 1 year,0-50k,Fully Paid,0,Mr. Cooper,2022-10-01
LN-10034,BRW-90034,Personal,2021-04-09,2028-03-15,24970,19420,5.27,60,MI,Major Purchase,D,< 1 year,0-50k,Late (31-120 days),46,LoanCare,2024-09-21
LN-10035,BRW-90035,Personal,2022-08-28,2026-08-24,26813,21801,6.47,36,MI,Medical Expenses,E,4-7 years,50k-100k,Charged Off,0,Wells Fargo,2022-11-21
LN-10036,BRW-90036,Personal,2020-08-01,2025-04-17,16698,11933,17.06,36,GA,Debt Consolidation,D,4-7 years,100k-150k,Late (31-120 days),109,Cenlar,2023-10-04
LN-10037,BRW-90037,Personal,2020-09-15,2028-10-19,12522,9833,9.13,60,FL,Debt Consolidation,A,1-3 years,150k-200k,In Grace Period,0,Mr. Cooper,2024-05-27
LN-10038,BRW-90038,Personal,2019-04-06,2025-08-04,29719,28514,8.84,60,NY,Credit Card Refinancing,E,10+ years,50k-100k,Fully Paid,0,PennyMac,2025-11-24
LN-10039,BRW-90039,Personal,2022-05-21,2027-01-20,9583,7422,14.39,60,MI,Home Improvement,C,1-3 years,50k-100k,Charged Off,0,LoanCare,2025-10-25
LN-10040,BRW-90040,Personal,2022-03-07,2027-05-03,40371,28392,14.47,60,IL,Major Purchase,D,< 1 year,150k-200k,In Grace Period,0,Cenlar,2025-07-26
LN-10041,BRW-90041,Personal,2019-10-20,2024-02-10,43081,22324,14.13,60,FL,Home Improvement,A,< 1 year,100k-150k,Current,0,PennyMac,2024-11-24
LN-10042,BRW-90042,Personal,2021-09-01,2024-03-02,21526,19017,14.84,60,TX,Home Improvement,E,4-7 years,100k-150k,Fully Paid,0,Wells Fargo,2025-04-20
LN-10043,BRW-90043,Personal,2021-11-09,2026-12-27,20107,18511,10.19,60,,Credit Card Refinancing,D,10+ years,150k-200k,Late (31-120 days),106,Mr. Cooper,2024-02-05
LN-10044,BRW-90044,Personal,2021-08-13,2028-10-03,33816,21172,17.02,36,NC,Medical Expenses,D,< 1 year,200k+,Late (31-120 days),80,Wells Fargo,2022-10-10
LN-10045,BRW-90045,Personal,2018-07-23,2027-02-27,20999,13225,12.86,60,NY,Debt Consolidation,D,4-7 years,100k-150k,In Grace Period,0,Mr. Cooper,2026-04-23
LN-10046,BRW-90046,Personal,2018-04-21,2028-02-12,6496,5095,8.74,60,OH,Home Improvement,C,< 1 year,150k-200k,Current,0,LoanCare,2022-06-01
LN-10047,BRW-90047,Personal,2018-08-05,2026-12-25,28880,22457,18.87,60,TX,Major Purchase,E,10+ years,100k-150k,Fully Paid,0,Wells Fargo,2023-09-21
LN-10048,BRW-90048,Personal,2019-06-17,2025-03-11,28209,23093,12.39,60,PA,Major Purchase,E,1-3 years,50k-100k,Late (31-120 days),55,PennyMac,2025-04-14
LN-10049,BRW-90049,Personal,2019-07-16,2025-10-06,40581,21171,18.23,60,NY,Home Improvement,D,< 1 year,0-50k,In Grace Period,0,Cenlar,2023-08-25
LN-10050,BRW-90050,Personal,2020-05-09,2028-01-29,16868,14805,12.91,36,CA,Debt Consolidation,B,< 1 year,150k-200k,Charged Off,0,Mr. Cooper,2026-04-15
LN-10051,BRW-90051,Personal,2019-06-14,2028-05-08,39292,34940,12.35,36,OH,Medical Expenses,E,8-10 years,0-50k,Late (31-120 days),85,LoanCare,2024-08-03
LN-10052,BRW-90052,Personal,2022-07-22,2023-05-08,26201,18133,13.44,60,NC,Major Purchase,E,10+ years,0-50k,In Grace Period,0,Wells Fargo,2024-03-15
LN-10053,BRW-90053,Personal,2022-08-10,2023-03-10,18893,17724,8.89,36,NY,Credit Card Refinancing,A,4-7 years,200k+,Charged Off,0,Mr. Cooper,2023-04-20
LN-10054,BRW-90054,Personal,2018-10-13,2025-07-22,21925,13003,7.52,36,MI,Debt Consolidation,E,< 1 year,50k-100k,Current,0,Mr. Cooper,2025-12-20
LN-10055,BRW-90055,Personal,2021-09-20,2027-12-16,21113,17219,10.42,60,TX,Medical Expenses,B,4-7 years,100k-150k,Late (31-120 days),95,LoanCare,2026-06-20
LN-10056,BRW-90056,Personal,2019-12-11,2023-12-19,11903,31903,8.30,36,FL,Major Purchase,A,< 1 year,50k-100k,Fully Paid,0,PennyMac,2025-06-17
LN-10057,BRW-90057,Personal,2018-06-21,2027-09-24,8119,28119,17.44,36,FL,Credit Card Refinancing,C,4-7 years,100k-150k,Current,0,Cenlar,2022-06-16
LN-10058,BRW-90058,Personal,2019-09-30,2025-01-03,26994,21558,13.13,36,CA,Debt Consolidation,A,< 1 year,200k+,In Grace Period,0,Cenlar,2023-08-11
LN-10059,BRW-90059,Personal,2018-11-28,2028-02-23,39808,26763,8.45,36,FL,Debt Consolidation,A,10+ years,50k-100k,Charged Off,0,Wells Fargo,2026-04-04
LN-10060,BRW-90060,Personal,2022-12-06,2025-10-03,40621,23874,5.26,36,IL,Credit Card Refinancing,D,8-10 years,0-50k,Late (31-120 days),55,Cenlar,2023-05-03
LN-10061,BRW-90061,Personal,2020-03-30,2024-05-20,42463,37552,14.07,36,NC,Credit Card Refinancing,B,< 1 year,200k+,Fully Paid,0,Mr. Cooper,2023-10-27
LN-10062,BRW-90062,Personal,2021-11-15,2023-07-29,15945,13259,11.18,36,IL,Credit Card Refinancing,B,1-3 years,100k-150k,In Grace Period,0,PennyMac,2024-04-29
LN-10063,BRW-90063,Personal,2018-12-03,2026-10-22,13739,12343,10.06,36,OH,Debt Consolidation,A,1-3 years,150k-200k,Fully Paid,0,Mr. Cooper,2026-07-19
LN-10064,BRW-90064,Personal,2021-01-26,2025-03-09,20802,19799,11.57,36,FL,Home Improvement,C,4-7 years,200k+,Late (31-120 days),82,PennyMac,2023-06-03
LN-10065,BRW-90065,Personal,2018-04-18,2026-12-15,28509,25313,10.29,60,TX,Major Purchase,B,4-7 years,200k+,Late (31-120 days),78,Cenlar,2024-11-20
LN-10066,BRW-90066,Personal,2020-02-02,2024-10-29,26209,24967,15.03,60,NC,Medical Expenses,E,1-3 years,200k+,Current,0,LoanCare,2024-12-27
LN-10067,BRW-90067,Personal,2022-06-20,2027-08-20,11571,9450,18.34,36,TX,Home Improvement,E,1-3 years,200k+,Current,0,PennyMac,2022-05-31
LN-10068,BRW-90068,Personal,2019-01-09,2023-06-22,44720,33572,6.61,60,CA,Credit Card Refinancing,D,10+ years,50k-100k,Late (31-120 days),44,PennyMac,2026-04-18
LN-10069,BRW-90069,Personal,2022-03-02,2024-12-15,22622,17062,7.15,60,PA,Major Purchase,A,8-10 years,150k-200k,Charged Off,0,Cenlar,2024-03-29
LN-10070,BRW-90070,Personal,2021-10-07,2027-08-25,5908,5011,11.42,60,PA,Debt Consolidation,B,4-7 years,100k-150k,Current,0,Wells Fargo,2023-10-04
LN-10071,BRW-90071,Personal,2020-11-06,2023-03-12,33683,21176,6.09,60,IL,Home Improvement,E,1-3 years,0-50k,Current,0,PennyMac,2024-09-20
LN-10072,BRW-90072,Personal,2019-07-14,2025-11-28,17921,9511,6.89,36,MI,Major Purchase,A,4-7 years,0-50k,In Grace Period,0,Wells Fargo,2023-06-29
LN-10073,BRW-90073,Personal,2019-03-15,2026-01-19,18165,12607,17.32,36,TX,Medical Expenses,A,< 1 year,200k+,In Grace Period,0,PennyMac,2023-05-22
LN-10074,BRW-90074,Personal,2020-12-07,2027-02-03,8919,7309,7.50,60,NY,Credit Card Refinancing,E,1-3 years,100k-150k,In Grace Period,0,PennyMac,2024-09-20
LN-10075,BRW-90075,Personal,2021-04-23,2024-05-16,28630,27194,6.02,36,GA,Major Purchase,D,10+ years,200k+,Current,0,PennyMac,2026-05-31
LN-10076,BRW-90076,Personal,2020-09-28,2025-08-18,26582,25286,13.40,60,NC,Major Purchase,D,1-3 years,50k-100k,Charged Off,0,Mr. Cooper,2024-11-18
LN-10077,BRW-90077,Personal,2021-08-18,2025-12-16,39539,31810,8.61,36,GA,Home Improvement,D,4-7 years,50k-100k,Late (31-120 days),104,LoanCare,2024-01-31
LN-10078,BRW-90078,Personal,2021-06-10,2024-04-22,36322,25036,16.00,60,PA,Debt Consolidation,A,< 1 year,100k-150k,In Grace Period,0,PennyMac,2022-04-14
LN-10079,BRW-90079,Personal,2018-01-09,2024-01-19,35242,28881,5.49,60,GA,Major Purchase,E,1-3 years,50k-100k,Fully Paid,0,PennyMac,2023-03-21
LN-10080,BRW-90080,Personal,2021-07-23,2026-06-30,22947,15341,18.18,36,GA,Major Purchase,E,< 1 year,0-50k,Charged Off,0,Cenlar,2024-04-28
LN-10081,BRW-90081,Personal,2021-09-25,2027-04-26,5000,3667,6.13,36,OH,Home Improvement,B,< 1 year,50k-100k,Current,0,Mr. Cooper,2025-04-26
LN-10082,BRW-90082,Personal,2018-06-20,2026-10-13,25655,24318,15.18,36,PA,Home Improvement,B,4-7 years,50k-100k,Fully Paid,0,Wells Fargo,2024-01-07
LN-10083,BRW-90083,Personal,2019-04-20,2025-02-19,10690,6160,18.35,60,CA,Medical Expenses,C,< 1 year,0-50k,Current,0,Cenlar,2026-06-01
LN-10084,BRW-90084,Personal,2019-12-15,2026-08-29,43398,23851,11.81,60,GA,Home Improvement,B,1-3 years,0-50k,Charged Off,0,Wells Fargo,2026-06-20
LN-10085,BRW-90085,Personal,2020-11-18,2023-10-25,19309,10296,10.27,60,PA,Debt Consolidation,C,1-3 years,150k-200k,Charged Off,0,Wells Fargo,2026-08-30
LN-10086,BRW-90086,Personal,2020-08-20,2025-02-05,12591,12496,9.63,60,MI,Major Purchase,A,10+ years,150k-200k,Current,0,Mr. Cooper,2022-08-13
LN-10087,BRW-90087,Personal,2019-06-04,2025-10-17,31021,30507,9.91,36,CA,Debt Consolidation,A,8-10 years,200k+,Current,0,Wells Fargo,2022-12-10
LN-10088,BRW-90088,Personal,2022-10-16,2028-09-12,18413,9366,14.39,60,IL,Medical Expenses,A,8-10 years,200k+,Charged Off,0,Cenlar,2024-01-22
LN-10089,BRW-90089,Personal,2018-02-14,2026-03-29,42571,29741,15.83,36,CA,Major Purchase,A,< 1 year,100k-150k,Late (31-120 days),58,Cenlar,2025-12-08
LN-10090,BRW-90090,Personal,2020-09-21,2023-11-18,13356,12445,5.09,60,OH,Major Purchase,D,< 1 year,50k-100k,Late (31-120 days),114,PennyMac,2023-07-01
LN-10091,BRW-90091,Personal,2018-07-27,2024-05-19,9875,9811,5.79,60,FL,Credit Card Refinancing,B,1-3 years,200k+,Charged Off,0,Cenlar,2023-05-07
LN-10092,BRW-90092,Personal,2020-10-23,2025-03-09,5415,5131,16.79,60,NY,Credit Card Refinancing,B,1-3 years,150k-200k,In Grace Period,0,LoanCare,2024-05-19
LN-10093,BRW-90093,Personal,2018-09-16,2025-06-13,25232,22625,6.17,36,NY,Debt Consolidation,A,< 1 year,150k-200k,Charged Off,0,Cenlar,2023-09-20
LN-10094,BRW-90094,Personal,2019-10-25,2028-08-11,15202,13346,10.07,36,IL,Medical Expenses,A,10+ years,50k-100k,Late (31-120 days),70,Cenlar,2022-12-07
LN-10095,BRW-90095,Personal,2022-06-11,2025-04-24,26873,17472,7.09,60,OH,Medical Expenses,C,8-10 years,0-50k,In Grace Period,0,LoanCare,2023-11-20
LN-10096,BRW-90096,Personal,2019-08-29,2028-11-23,30735,29072,14.86,60,FL,Debt Consolidation,B,1-3 years,100k-150k,Current,0,PennyMac,2025-08-08
LN-10097,BRW-90097,Personal,2018-11-09,2025-04-03,22871,12555,19.29,36,NY,Credit Card Refinancing,B,1-3 years,150k-200k,Current,0,Wells Fargo,2024-06-11
LN-10098,BRW-90098,Personal,2019-12-16,2026-04-20,10486,6238,10.34,60,NY,Debt Consolidation,C,1-3 years,50k-100k,Late (31-120 days),45,Cenlar,2026-07-28
LN-10099,BRW-90099,Personal,2018-03-18,2024-10-26,5466,4012,14.15,60,NY,Medical Expenses,B,1-3 years,150k-200k,Late (31-120 days),52,Cenlar,2026-06-16
LN-10100,BRW-90100,Personal,2022-09-05,2027-02-25,25872,20567,5.49,60,MI,Credit Card Refinancing,D,< 1 year,100k-150k,In Grace Period,0,Wells Fargo,2022-05-30
LN-10101,BRW-90101,Personal,2021-02-19,2027-11-23,13010,12595,5.73,36,PA,Credit Card Refinancing,E,8-10 years,50k-100k,In Grace Period,0,PennyMac,2023-10-04
LN-10102,BRW-90102,Personal,2021-10-30,2026-09-07,30418,28313,6.28,60,MI,Home Improvement,A,4-7 years,0-50k,In Grace Period,0,LoanCare,2022-06-15
LN-10103,BRW-90103,Personal,2020-03-20,2024-11-19,27900,27048,13.30,36,NC,Home Improvement,D,4-7 years,0-50k,Fully Paid,0,LoanCare,2026-02-26
LN-10104,BRW-90104,Personal,2022-02-14,2026-04-25,33834,21014,17.75,36,FL,Home Improvement,C,< 1 year,150k-200k,Fully Paid,0,LoanCare,2022-06-13
LN-10105,BRW-90105,Personal,2018-10-24,2026-09-27,23410,14760,5.44,36,NC,Home Improvement,C,8-10 years,100k-150k,Late (31-120 days),79,PennyMac,2022-07-26
LN-10106,BRW-90106,Personal,2019-08-18,2024-08-10,40502,35994,16.59,36,TX,Home Improvement,C,1-3 years,50k-100k,Fully Paid,0,Wells Fargo,2025-07-26
LN-10107,BRW-90107,Personal,2022-01-03,2023-08-05,35846,20761,9.92,36,NC,Credit Card Refinancing,A,4-7 years,100k-150k,Current,0,Cenlar,2026-02-26
LN-10108,BRW-90108,Personal,2018-07-31,2026-05-12,31959,18629,6.63,60,FL,Medical Expenses,A,8-10 years,0-50k,Fully Paid,0,Wells Fargo,2025-01-31
LN-10109,BRW-90109,Personal,2022-08-06,2026-08-06,31182,22589,11.08,60,OH,Major Purchase,B,< 1 year,200k+,Charged Off,0,PennyMac,2023-08-19
LN-10110,BRW-90110,Personal,2020-08-07,2024-09-19,29461,27704,19.87,60,NY,Medical Expenses,A,10+ years,0-50k,Fully Paid,0,Mr. Cooper,2023-08-12
LN-10111,BRW-90111,Personal,2020-04-15,2025-06-07,19681,17891,8.29,36,FL,Credit Card Refinancing,E,< 1 year,150k-200k,Late (31-120 days),53,LoanCare,2024-03-09
LN-10112,BRW-90112,Personal,2020-08-22,2028-01-04,33009,25948,19.43,60,PA,Major Purchase,B,< 1 year,50k-100k,Late (31-120 days),32,LoanCare,2024-01-20
LN-10113,BRW-90113,Personal,2019-05-17,2026-05-23,6874,3737,16.55,36,CA,Major Purchase,D,4-7 years,50k-100k,In Grace Period,0,PennyMac,2022-10-04
LN-10114,BRW-90114,Personal,2022-06-15,2024-12-12,18196,10110,19.34,60,NC,Home Improvement,C,4-7 years,50k-100k,In Grace Period,0,Cenlar,2025-05-08
LN-10115,BRW-90115,Personal,2022-05-07,2026-08-01,6186,4276,17.56,36,NC,Home Improvement,A,1-3 years,0-50k,Current,0,Wells Fargo,2022-06-18
LN-10116,BRW-90116,Personal,2018-11-08,2024-11-22,27667,24801,13.70,36,MI,Debt Consolidation,C,10+ years,0-50k,Charged Off,0,PennyMac,2025-10-14
LN-10117,BRW-90117,Personal,2019-05-05,2027-07-18,39901,37204,17.00,36,MI,Medical Expenses,A,1-3 years,50k-100k,Fully Paid,0,PennyMac,2024-10-23
LN-10118,BRW-90118,Personal,2019-12-12,2025-05-23,30868,19888,5.78,60,FL,Home Improvement,B,1-3 years,50k-100k,Charged Off,0,LoanCare,2022-03-12
LN-10119,BRW-90119,Personal,2020-11-03,2024-12-08,22285,19897,5.01,36,NY,Home Improvement,A,4-7 years,150k-200k,In Grace Period,0,Mr. Cooper,2025-08-29
LN-10120,BRW-90120,Personal,2020-12-26,2026-10-14,30362,23194,11.89,36,NY,Medical Expenses,A,1-3 years,100k-150k,Charged Off,0,PennyMac,2022-07-13
LN-10121,BRW-90121,Personal,2022-04-28,2024-08-03,21100,15642,14.58,60,CA,Medical Expenses,E,< 1 year,200k+,InvalidStatusString,0,LoanCare,2025-01-18
LN-10122,BRW-90122,Personal,2019-05-12,2025-02-20,36094,23581,9.41,60,NY,Home Improvement,C,10+ years,200k+,Late (31-120 days),68,LoanCare,2025-03-10
LN-10123,BRW-90123,Personal,2020-12-27,2025-05-22,14626,12438,16.18,36,PA,Major Purchase,A,4-7 years,150k-200k,Current,0,PennyMac,2026-08-29
LN-10124,BRW-90124,Personal,2019-08-24,2027-01-16,16731,16598,15.64,60,GA,Debt Consolidation,A,10+ years,0-50k,Current,0,Wells Fargo,2024-10-17
LN-10125,BRW-90125,Personal,2019-11-11,2024-02-11,16283,15305,19.11,36,IL,Debt Consolidation,A,8-10 years,0-50k,In Grace Period,0,PennyMac,2025-09-20
LN-10126,BRW-90126,Personal,2021-09-11,2024-06-15,31147,22032,13.73,60,OH,Major Purchase,D,1-3 years,100k-150k,In Grace Period,0,LoanCare,2023-04-20
LN-10127,BRW-90127,Personal,2019-10-21,2027-03-01,34274,21994,7.58,60,GA,Medical Expenses,D,< 1 year,100k-150k,Fully Paid,0,LoanCare,2026-01-01
LN-10128,BRW-90128,Personal,2021-05-22,2027-10-01,7564,7310,12.24,36,MI,Medical Expenses,C,< 1 year,50k-100k,In Grace Period,0,PennyMac,2026-03-26
LN-10129,BRW-90129,Personal,2018-11-29,2028-01-29,43561,39596,18.78,60,TX,Home Improvement,D,8-10 years,200k+,In Grace Period,0,Cenlar,2025-07-30
LN-10130,BRW-90130,Personal,2018-03-08,2025-11-01,29884,19647,17.91,60,TX,Major Purchase,C,8-10 years,200k+,In Grace Period,0,Cenlar,2024-04-06
LN-10131,BRW-90131,Personal,2020-11-16,2028-04-21,24406,14387,6.72,60,FL,Medical Expenses,B,1-3 years,100k-150k,In Grace Period,0,LoanCare,2024-09-13
LN-10132,BRW-90132,Personal,2020-04-28,2027-12-25,28572,20748,6.61,60,CA,Credit Card Refinancing,E,< 1 year,50k-100k,Current,0,PennyMac,2022-04-21
LN-10133,BRW-90133,Personal,2018-07-12,2026-07-03,34812,29019,8.28,60,OH,Debt Consolidation,C,< 1 year,50k-100k,Current,0,Mr. Cooper,2022-08-20
LN-10134,BRW-90134,Personal,2019-04-17,2023-02-28,33876,22945,19.13,60,NY,Medical Expenses,B,1-3 years,100k-150k,Charged Off,0,Wells Fargo,2024-10-31
LN-10135,BRW-90135,Personal,2021-01-23,2026-06-27,29941,24041,11.57,60,FL,Home Improvement,C,10+ years,0-50k,Current,0,Mr. Cooper,2022-05-25
LN-10136,BRW-90136,Personal,2019-10-20,2024-08-25,14324,9032,5.52,36,OH,Major Purchase,E,8-10 years,150k-200k,Late (31-120 days),86,LoanCare,2023-12-13
LN-10137,BRW-90137,Personal,2018-11-07,2026-02-24,38797,27857,8.33,36,CA,Credit Card Refinancing,D,8-10 years,50k-100k,In Grace Period,0,Wells Fargo,2022-11-28
LN-10138,BRW-90138,Personal,2018-09-17,2025-11-15,31405,28409,16.22,36,MI,Home Improvement,C,1-3 years,50k-100k,Current,0,PennyMac,2023-10-26
LN-10139,BRW-90139,Personal,2018-09-29,2024-08-30,35855,19479,19.38,60,PA,Home Improvement,A,1-3 years,100k-150k,Charged Off,0,LoanCare,2023-04-17
LN-10140,BRW-90140,Personal,2021-02-22,2023-06-10,42777,25565,12.47,60,CA,Credit Card Refinancing,D,10+ years,50k-100k,Current,0,LoanCare,2023-07-18
LN-10141,BRW-90141,Personal,2019-12-29,2023-06-14,39494,21299,11.68,36,FL,Major Purchase,D,< 1 year,100k-150k,Current,0,LoanCare,2025-05-23
LN-10142,BRW-90142,Personal,2022-08-05,2028-10-16,20494,15724,8.17,60,GA,Credit Card Refinancing,D,8-10 years,200k+,Current,0,Wells Fargo,2026-03-22
LN-10143,BRW-90143,Personal,2019-03-27,2027-09-12,36283,32240,5.10,60,IL,Credit Card Refinancing,B,8-10 years,200k+,Charged Off,0,LoanCare,2022-02-22
LN-10144,BRW-90144,Personal,2019-09-23,2027-12-20,42348,31779,15.40,60,OH,Medical Expenses,E,< 1 year,100k-150k,Late (31-120 days),110,Cenlar,2022-09-18
LN-10145,BRW-90145,Personal,2019-02-06,2027-08-17,6023,3953,15.77,36,NC,Debt Consolidation,B,4-7 years,100k-150k,Charged Off,0,Wells Fargo,2025-04-03
LN-10146,BRW-90146,Personal,2020-04-06,2027-05-18,13331,10261,8.78,36,MI,Major Purchase,A,4-7 years,50k-100k,Late (31-120 days),56,Wells Fargo,2024-01-21
LN-10147,BRW-90147,Personal,2021-01-17,2023-10-03,31310,30728,9.18,60,FL,Credit Card Refinancing,C,4-7 years,150k-200k,In Grace Period,0,Cenlar,2025-02-17
LN-10148,BRW-90148,Personal,2021-06-18,2023-12-11,11674,6679,6.30,60,,Medical Expenses,B,1-3 years,150k-200k,In Grace Period,0,LoanCare,2022-03-14
LN-10149,BRW-90149,Personal,2019-01-23,2025-01-24,31392,30619,15.50,60,IL,Medical Expenses,A,10+ years,100k-150k,Charged Off,0,Cenlar,2023-02-20
LN-10150,BRW-90150,Personal,2022-01-30,2028-08-15,41543,29108,16.48,60,OH,Debt Consolidation,C,< 1 year,0-50k,Fully Paid,0,PennyMac,2023-12-06
LN-10151,BRW-90151,Personal,2022-06-09,2023-03-10,14571,9274,9.45,36,FL,Major Purchase,A,10+ years,50k-100k,Late (31-120 days),99,Wells Fargo,2022-08-02
LN-10152,BRW-90152,Personal,2022-04-03,2024-02-06,36655,28449,13.44,60,IL,Home Improvement,E,1-3 years,100k-150k,In Grace Period,0,Cenlar,2025-07-02
LN-10153,BRW-90153,Personal,2021-06-26,2027-01-15,17719,12139,16.77,60,TX,Debt Consolidation,D,8-10 years,100k-150k,Fully Paid,0,LoanCare,2025-02-10
