loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
L-100839,B-98581,VA,2020-05-28,2030-05-28,235419.07,158908.67,2.723,120,PA,PURCHASE,A,10+ years,$150k+,CURRENT,0,Servicer_C,2024-01-12,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100772,B-14883,JUMBO,2020-05-06,2050-05-07,460940.72,50000.0,5.296,360,PA,CASH_OUT,D,8-10 years,$150k+,CLOSED,0,Servicer_B,2024-02-16,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100950,B-63301,CONVENTIONAL,2018-09-26,2028-09-26,336453.84,311460.23,6.789,120,TX,PURCHASE,D,10+ years,$0-$50k,CURRENT,0,Servicer_C,2024-01-09,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100332,B-10292,JUMBO,2015-03-30,2030-03-30,367127.21,273390.06,7.239,180,IL,REFINANCE,D,< 1 year,$50k-$100k,CURRENT,0,Servicer_A,2024-02-01,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100706,B-23344,CONVENTIONAL,2017-02-26,2032-02-27,118705.09,105409.33,4.585,180,MI,CASH_OUT,A,< 1 year,$50k-$100k,CURRENT,0,Servicer_A,2024-01-21,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100454,B-33908,FHA,2022-04-23,2052-04-23,286829.91,140532.75,5.619,360,OH,PURCHASE,D,1-3 years,$0-$50k,CURRENT,0,Servicer_A,2024-02-10,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100161,B-66112,JUMBO,2020-11-26,2050-11-27,183386.88,68195.58,3.058,360,CA,CASH_OUT,A,< 1 year,$150k+,CURRENT,0,Servicer_B,2024-01-15,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100580,B-79955,CONVENTIONAL,2016-02-14,2026-02-14,287992.47,198633.3,6.284,120,NY,CASH_OUT,C,10+ years,$50k-$100k,CURRENT,0,Servicer_B,2024-01-19,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100956,B-69463,FHA,2018-12-13,2033-12-13,475812.77,438972.08,4.329,180,NC,CASH_OUT,D,8-10 years,$0-$50k,CURRENT,0,Servicer_C,2024-02-23,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100938,B-19495,FHA,2016-05-11,2031-05-12,375962.56,97301.95,5.707,180,CA,REFINANCE,A,< 1 year,$0-$50k,CURRENT,0,Servicer_B,2024-02-23,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100315,B-99425,FHA,2022-08-26,2052-08-27,463401.25,372807.58,6.568,360,CA,CASH_OUT,A,1-3 years,$150k+,CURRENT,0,Servicer_B,2024-01-10,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100954,B-85067,JUMBO,2018-01-26,2028-01-27,303007.79,152221.69,2.566,120,NY,REFINANCE,D,10+ years,$100k-$150k,CURRENT,0,Servicer_C,2024-01-11,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100529,B-42786,FHA,2017-06-16,2032-06-17,75257.78,40503.77,5.153,180,CA,CASH_OUT,C,4-7 years,$50k-$100k,CURRENT,0,Servicer_B,2024-01-21,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100647,B-71866,VA,2022-10-21,2052-10-22,246326.55,88496.6,3.942,360,CA,REFINANCE,A,10+ years,$150k+,CURRENT,0,Servicer_A,2024-02-19,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100497,B-98332,JUMBO,2020-02-11,2030-02-10,420339.09,372503.71,5.299,120,OH,CASH_OUT,A,8-10 years,$50k-$100k,CURRENT,0,Servicer_A,2024-01-19,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100702,B-45594,FHA,2021-10-23,2031-10-24,442681.12,186633.14,6.361,120,CA,REFINANCE,D,1-3 years,$150k+,CURRENT,0,Servicer_A,2024-01-25,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100555,B-19250,VA,2019-02-05,2049-02-05,408170.49,250412.36,3.432,360,GA,REFINANCE,C,8-10 years,$0-$50k,CURRENT,0,Servicer_A,2024-01-10,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100225,B-43498,JUMBO,2019-08-13,2049-08-13,361277.06,201734.93,4.951,360,CA,REFINANCE,A,4-7 years,$0-$50k,CURRENT,0,Servicer_B,2024-01-17,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100557,B-40472,FHA,2019-10-31,2049-11-01,336553.0,147111.95,3.614,360,MI,PURCHASE,B,8-10 years,$150k+,CURRENT,0,Servicer_B,2024-02-09,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100033,B-53753,VA,2018-04-11,2033-04-11,310599.06,-1500.0,5.233,180,IL,PURCHASE,D,4-7 years,$150k+,CURRENT,0,Servicer_C,2024-02-14,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100252,B-33484,JUMBO,2018-10-11,2033-10-11,236585.71,23758.45,7.207,180,OH,PURCHASE,D,< 1 year,$0-$50k,CURRENT,0,Servicer_A,2024-01-26,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100204,B-40432,JUMBO,2015-10-18,2030-10-18,103470.13,93988.47,7.059,180,IL,REFINANCE,C,1-3 years,$150k+,CURRENT,0,Servicer_B,2024-02-05,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100035,B-30301,CONVENTIONAL,2015-05-31,2025-05-31,405717.55,89007.69,2.724,120,OH,CASH_OUT,D,< 1 year,$50k-$100k,CURRENT,0,Servicer_C,2024-02-16,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100802,B-45462,FHA,2016-06-05,2046-06-07,237432.27,105068.31,7.111,360,TX,PURCHASE,D,10+ years,$50k-$100k,CURRENT,0,Servicer_A,2024-02-20,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100392,B-50411,FHA,2019-10-31,2049-10-31,441134.21,338631.85,4.894,360,IL,CASH_OUT,D,< 1 year,$150k+,CURRENT,0,Servicer_C,2024-02-28,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100927,B-62107,FHA,2016-10-30,2026-10-30,474826.15,153026.96,2.935,120,OH,REFINANCE,B,10+ years,$0-$50k,CURRENT,0,Servicer_A,2024-01-29,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100037,B-41032,FHA,2018-04-10,2033-04-10,112724.26,20567.06,5.827,180,NY,REFINANCE,A,1-3 years,$100k-$150k,CURRENT,0,Servicer_B,2024-02-29,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100876,B-94102,CONVENTIONAL,2023-09-09,2033-09-09,452499.89,147208.04,7.439,120,GA,REFINANCE,A,4-7 years,$100k-$150k,CURRENT,0,Servicer_B,2024-01-20,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100257,B-43011,VA,2021-01-29,2036-01-30,306860.01,69625.05,2.678,180,PA,REFINANCE,A,4-7 years,$100k-$150k,CURRENT,0,Servicer_C,2024-02-21,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100411,B-28381,CONVENTIONAL,2018-07-29,2033-07-30,238171.73,204555.78,5.606,180,GA,PURCHASE,B,< 1 year,$100k-$150k,CURRENT,0,Servicer_A,2024-02-04,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100255,B-61487,VA,2019-02-06,2049-02-06,284368.68,126625.31,5.085,360,MI,CASH_OUT,C,10+ years,$0-$50k,CURRENT,0,Servicer_B,2024-01-23,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100986,B-69131,FHA,2020-07-19,2030-07-20,96247.76,61693.02,4.684,120,OH,REFINANCE,C,4-7 years,$150k+,CURRENT,0,Servicer_B,2024-01-06,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100807,B-87328,JUMBO,2021-08-13,2051-08-14,268417.06,243762.33,6.623,360,PA,CASH_OUT,B,10+ years,$50k-$100k,CURRENT,0,Servicer_A,2024-01-23,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100674,B-27912,JUMBO,2016-07-06,2026-07-06,492985.1,185721.2,3.19,120,GA,REFINANCE,C,4-7 years,$50k-$100k,CURRENT,0,Servicer_A,2024-01-15,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100712,B-70336,FHA,2018-11-17,2033-11-17,253230.6,27980.98,4.213,180,PA,PURCHASE,C,10+ years,$100k-$150k,CURRENT,0,Servicer_A,2024-02-17,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100798,B-77052,JUMBO,2018-03-11,2033-03-12,119619.44,37856.14,4.318,180,CA,CASH_OUT,B,< 1 year,$50k-$100k,CURRENT,0,Servicer_A,2024-02-21,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100939,B-20052,JUMBO,2015-07-06,2045-07-06,449800.21,383740.74,7.031,360,CA,REFINANCE,D,4-7 years,$50k-$100k,CURRENT,0,Servicer_B,2024-02-04,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100206,B-22673,JUMBO,2019-06-01,2049-06-02,252992.08,208842.25,5.844,360,NC,REFINANCE,B,8-10 years,$150k+,CURRENT,0,Servicer_A,2024-02-19,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100806,B-18148,VA,2020-06-17,2035-06-18,471787.36,360679.13,6.471,180,NC,PURCHASE,D,1-3 years,$150k+,CURRENT,0,Servicer_B,2024-01-13,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100138,B-18403,FHA,2019-05-13,2049-05-13,307171.81,59332.82,3.069,360,TX,PURCHASE,D,4-7 years,$100k-$150k,CURRENT,0,Servicer_B,2024-02-28,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100565,B-22442,VA,2022-04-10,2037-04-10,90123.98,56237.95,6.422,180,FL,PURCHASE,D,1-3 years,$50k-$100k,CURRENT,0,Servicer_B,2024-02-24,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100024,B-29631,JUMBO,2021-07-11,2031-07-11,268371.57,113480.99,4.459,120,TX,CASH_OUT,A,10+ years,$0-$50k,CURRENT,0,Servicer_B,2024-01-15,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100472,B-80636,CONVENTIONAL,2023-03-28,2033-03-28,471950.11,55365.24,2.651,120,CA,CASH_OUT,D,10+ years,$0-$50k,CURRENT,0,Servicer_A,2024-01-07,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100106,B-41520,CONVENTIONAL,2020-05-16,2030-05-17,348561.14,213554.3,4.65,120,MI,CASH_OUT,B,8-10 years,$50k-$100k,CURRENT,0,Servicer_B,2024-02-26,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100387,B-36518,CONVENTIONAL,2017/01/01,2027-01-02,86667.7,39088.23,5.451,120,IL,PURCHASE,B,4-7 years,$0-$50k,CURRENT,0,Servicer_C,2024-01-03,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100333,B-68260,JUMBO,2021-01-15,2051-01-16,181621.55,142480.08,6.213,360,GA,PURCHASE,A,4-7 years,$0-$50k,CURRENT,0,Servicer_C,2024-02-04,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100840,B-57954,CONVENTIONAL,2015-07-12,2045-07-12,211855.58,71268.48,3.593,360,PA,PURCHASE,A,10+ years,$50k-$100k,CURRENT,0,Servicer_C,2024-02-21,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100000,B-30273,VA,2015-11-29,2025-11-29,471321.72,397115.03,6.841,120,GA,PURCHASE,C,8-10 years,$0-$50k,CURRENT,0,Servicer_B,2024-02-29,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100244,B-69453,FHA,2017-01-05,2047-01-07,452577.85,415541.96,7.143,360,IL,CASH_OUT,D,1-3 years,$50k-$100k,CURRENT,0,Servicer_B,2024-01-28,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100979,B-13602,VA,2020-03-13,2050-03-15,93515.64,51559.31,2.685,360,NY,PURCHASE,C,8-10 years,$0-$50k,CURRENT,0,Servicer_B,2024-01-24,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100714,B-11540,VA,2021-01-06,2031-01-07,428176.98,372841.21,5.986,120,MI,CASH_OUT,A,< 1 year,$100k-$150k,CURRENT,0,Servicer_A,2024-02-19,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100466,B-27520,CONVENTIONAL,2018-01-27,2028-01-28,437577.5,306852.39,6.998,120,CA,CASH_OUT,C,10+ years,$0-$50k,CURRENT,0,Servicer_C,2024-02-22,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100013,B-26987,JUMBO,2021-07-25,2031-07-25,355823.48,331968.72,7.423,120,NY,REFINANCE,B,< 1 year,$100k-$150k,CURRENT,0,Servicer_C,2024-02-07,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100544,B-29352,FHA,2022-12-28,2032-12-28,403839.68,72129.79,7.402,120,TX,PURCHASE,B,4-7 years,$0-$50k,CURRENT,0,Servicer_B,2024-02-17,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
