loan_id,document_status
L-100965,AVAILABLE
L-100583,AVAILABLE
L-100554,AVAILABLE
L-100914,AVAILABLE
L-100884,AVAILABLE
L-100173,AVAILABLE
L-100479,AVAILABLE
L-100389,AVAILABLE
L-100755,AVAILABLE
L-100111,AVAILABLE
L-100443,AVAILABLE
L-100588,AVAILABLE
L-100577,AVAILABLE
L-100776,AVAILABLE
L-100373,AVAILABLE
L-100609,AVAILABLE
L-100064,AVAILABLE
L-100329,AVAILABLE
L-100446,AVAILABLE
L-100366,AVAILABLE
L-100708,AVAILABLE
L-100436,AVAILABLE
L-100314,AVAILABLE
L-100320,MISSING
L-100996,AVAILABLE
L-100717,AVAILABLE
L-100869,AVAILABLE
L-100975,AVAILABLE
L-100272,AVAILABLE
L-100490,AVAILABLE
L-100617,AVAILABLE
L-100475,AVAILABLE
L-100795,MISSING
L-100644,AVAILABLE
L-100435,AVAILABLE
L-100671,AVAILABLE
L-100533,AVAILABLE
L-100094,AVAILABLE
L-100394,AVAILABLE
L-100570,AVAILABLE
L-100661,AVAILABLE
L-100865,AVAILABLE
L-100855,AVAILABLE
L-100959,AVAILABLE
L-100241,AVAILABLE
L-100494,AVAILABLE
L-100317,AVAILABLE
L-100669,AVAILABLE
L-100699,AVAILABLE
L-100112,AVAILABLE
L-100074,AVAILABLE
L-100703,AVAILABLE
L-100949,AVAILABLE
L-100635,AVAILABLE
L-100514,AVAILABLE
L-100251,AVAILABLE
L-100153,AVAILABLE
L-100226,AVAILABLE
L-100749,AVAILABLE
L-100933,MISSING
L-100870,MISSING
L-100286,AVAILABLE
L-100459,AVAILABLE
L-100002,AVAILABLE
L-100186,AVAILABLE
L-100266,AVAILABLE
L-100875,AVAILABLE
L-100023,AVAILABLE
L-100040,AVAILABLE
L-100835,AVAILABLE
L-100500,AVAILABLE
L-100833,AVAILABLE
L-100088,AVAILABLE
L-100147,AVAILABLE
L-100166,AVAILABLE
L-100374,AVAILABLE
L-100137,AVAILABLE
L-100887,AVAILABLE
L-100109,AVAILABLE
L-100201,AVAILABLE
L-100790,AVAILABLE
L-100009,AVAILABLE
L-100903,MISSING
L-100882,AVAILABLE
L-100743,AVAILABLE
L-100561,AVAILABLE
L-100450,AVAILABLE
L-100992,AVAILABLE
L-100093,AVAILABLE
L-100339,AVAILABLE
L-100739,AVAILABLE
L-100133,AVAILABLE
L-100346,AVAILABLE
L-100838,AVAILABLE
L-100612,AVAILABLE
L-100005,AVAILABLE
L-100676,AVAILABLE
L-100427,AVAILABLE
L-100625,AVAILABLE
L-100657,AVAILABLE
L-100060,AVAILABLE
L-100390,AVAILABLE
L-100883,AVAILABLE
L-100400,AVAILABLE
L-100434,AVAILABLE
L-100575,MISSING
L-100645,AVAILABLE
L-100511,AVAILABLE
L-100526,AVAILABLE
L-100988,AVAILABLE
L-100381,AVAILABLE
L-100276,AVAILABLE
L-100842,AVAILABLE
L-100827,AVAILABLE
L-100929,AVAILABLE
L-100174,MISSING
L-100891,AVAILABLE
L-100054,AVAILABLE
L-100745,AVAILABLE
L-100523,MISSING
L-100405,AVAILABLE
L-100052,AVAILABLE
L-100962,AVAILABLE
L-100124,AVAILABLE
L-100964,AVAILABLE
L-100889,AVAILABLE
L-100952,AVAILABLE
L-100451,AVAILABLE
L-100697,AVAILABLE
L-100210,MISSING
L-100722,AVAILABLE
L-100100,AVAILABLE
L-100340,AVAILABLE
L-100585,AVAILABLE
L-100403,AVAILABLE
L-100953,AVAILABLE
L-100652,AVAILABLE
L-100006,AVAILABLE
L-100916,AVAILABLE
L-100092,AVAILABLE
L-100327,MISSING
L-100464,AVAILABLE
L-100879,AVAILABLE
L-100824,MISSING
L-100653,AVAILABLE
L-100130,AVAILABLE
L-100110,AVAILABLE
L-100896,AVAILABLE
L-100324,AVAILABLE
L-100724,AVAILABLE
L-100925,AVAILABLE
L-100513,AVAILABLE
L-100805,AVAILABLE
L-100930,AVAILABLE
L-100562,AVAILABLE
L-100750,AVAILABLE
L-100160,AVAILABLE
,AVAILABLE
L-100151,AVAILABLE
L-100814,AVAILABLE
L-100880,AVAILABLE
L-100121,AVAILABLE
L-100309,AVAILABLE
L-100127,MISSING
L-100937,AVAILABLE
L-100388,AVAILABLE
L-100552,AVAILABLE
L-100871,AVAILABLE
L-100271,MISSING
L-100599,AVAILABLE
L-100604,AVAILABLE
L-100027,AVAILABLE
L-100713,AVAILABLE
L-100083,AVAILABLE
L-100154,AVAILABLE
L-100017,AVAILABLE
L-100098,AVAILABLE
L-100231,AVAILABLE
L-100168,AVAILABLE
L-100569,AVAILABLE
L-100144,MISSING
L-100598,AVAILABLE
L-100971,AVAILABLE
L-100792,AVAILABLE
L-100484,AVAILABLE
L-100701,AVAILABLE
L-100471,AVAILABLE
L-100259,AVAILABLE
L-100696,AVAILABLE
L-100406,AVAILABLE
L-100999,AVAILABLE
L-100283,MISSING
L-100429,AVAILABLE
L-100791,AVAILABLE
L-100445,AVAILABLE
L-100393,AVAILABLE
L-100568,AVAILABLE
L-100892,AVAILABLE
L-100982,AVAILABLE
L-100203,AVAILABLE
L-100649,MISSING
L-100383,AVAILABLE
L-100187,AVAILABLE
L-100215,AVAILABLE
L-100104,MISSING
L-100820,AVAILABLE
L-100007,AVAILABLE
L-100277,AVAILABLE
L-100841,AVAILABLE
L-100221,AVAILABLE
L-100075,AVAILABLE
L-100448,AVAILABLE
L-100491,AVAILABLE
L-100046,AVAILABLE
L-100477,AVAILABLE
L-100587,AVAILABLE
L-100781,MISSING
L-100681,AVAILABLE
L-100357,AVAILABLE
L-100010,AVAILABLE
L-100686,MISSING
L-100829,AVAILABLE
L-100280,AVAILABLE
L-100606,AVAILABLE
L-100849,AVAILABLE
L-100873,AVAILABLE
L-100683,AVAILABLE
L-100019,AVAILABLE
L-100343,AVAILABLE
L-100593,AVAILABLE
L-100217,AVAILABLE
L-100066,AVAILABLE
L-100735,AVAILABLE
L-100997,AVAILABLE
L-100103,AVAILABLE
L-100970,AVAILABLE
L-100131,AVAILABLE
L-100567,AVAILABLE
L-100428,AVAILABLE
L-100047,AVAILABLE
L-100864,AVAILABLE
L-100799,AVAILABLE
L-100860,AVAILABLE
L-100899,AVAILABLE
L-100467,AVAILABLE
L-100372,AVAILABLE
L-100816,MISSING
L-100539,MISSING
L-100648,AVAILABLE
L-100331,AVAILABLE
L-100851,AVAILABLE
L-100495,MISSING
L-100355,AVAILABLE
L-100352,AVAILABLE
L-100700,AVAILABLE
L-100224,MISSING
L-100290,AVAILABLE
L-100586,AVAILABLE
L-100118,AVAILABLE
L-100768,MISSING
L-100694,AVAILABLE
L-100425,AVAILABLE
L-100065,AVAILABLE
L-100099,MISSING
L-100350,AVAILABLE
L-100246,AVAILABLE
L-100900,AVAILABLE
L-100600,AVAILABLE
L-100169,AVAILABLE
L-100211,AVAILABLE
L-100214,AVAILABLE
L-100182,AVAILABLE
L-100085,AVAILABLE
L-100432,AVAILABLE
L-100195,AVAILABLE
L-100412,AVAILABLE
L-100150,AVAILABLE
L-100818,AVAILABLE
L-100589,AVAILABLE
L-100080,AVAILABLE
L-100740,AVAILABLE
L-100738,AVAILABLE
L-100308,AVAILABLE
L-100638,AVAILABLE
L-100082,AVAILABLE
L-100062,AVAILABLE
L-100145,AVAILABLE
L-100208,AVAILABLE
L-100516,AVAILABLE
L-100973,AVAILABLE
L-100207,AVAILABLE
L-100532,AVAILABLE
L-100318,AVAILABLE
L-100944,AVAILABLE
,AVAILABLE
L-100967,AVAILABLE
L-100120,AVAILABLE
L-100920,AVAILABLE
L-100438,AVAILABLE
L-100861,MISSING
L-100289,AVAILABLE
L-100984,AVAILABLE
L-100857,AVAILABLE
L-100095,AVAILABLE
L-100012,AVAILABLE
L-100872,AVAILABLE
L-100921,AVAILABLE
L-100441,MISSING
L-100344,AVAILABLE
L-100848,AVAILABLE
L-100336,MISSING
L-100720,AVAILABLE
L-100424,AVAILABLE
L-100087,AVAILABLE
L-100496,AVAILABLE
L-100306,AVAILABLE
L-100592,AVAILABLE
L-100559,AVAILABLE
L-100613,AVAILABLE
L-100815,AVAILABLE
L-100786,AVAILABLE
L-100004,AVAILABLE
L-100520,AVAILABLE
L-100158,AVAILABLE
L-100641,AVAILABLE
L-100854,AVAILABLE
L-100261,AVAILABLE
L-100646,AVAILABLE
L-100978,AVAILABLE
L-100821,MISSING
L-100489,AVAILABLE
L-100709,AVAILABLE
L-100946,AVAILABLE
L-100192,AVAILABLE
L-100902,AVAILABLE
L-100143,AVAILABLE
L-100442,AVAILABLE
L-100370,MISSING
L-100620,AVAILABLE
L-100998,MISSING
L-100116,AVAILABLE
L-100171,AVAILABLE
L-100079,AVAILABLE
L-100512,AVAILABLE
L-100778,AVAILABLE
L-100742,AVAILABLE
L-100856,AVAILABLE
L-100935,AVAILABLE
L-100668,AVAILABLE
L-100268,AVAILABLE
L-100828,AVAILABLE
L-100209,MISSING
L-100410,AVAILABLE
L-100453,AVAILABLE
L-100545,AVAILABLE
L-100123,AVAILABLE
L-100904,AVAILABLE
L-100748,AVAILABLE
L-100922,AVAILABLE
L-100437,AVAILABLE
L-100614,AVAILABLE
L-100468,MISSING
L-100847,AVAILABLE
L-100197,AVAILABLE
L-100877,AVAILABLE
L-100250,AVAILABLE
L-100885,MISSING
L-100811,AVAILABLE
L-100940,AVAILABLE
L-100055,AVAILABLE
L-100621,AVAILABLE
L-100679,AVAILABLE
L-100307,AVAILABLE
L-100364,AVAILABLE
L-100219,AVAILABLE
L-100302,AVAILABLE
L-100404,MISSING
L-100573,AVAILABLE
L-100832,AVAILABLE
L-100269,AVAILABLE
L-100338,AVAILABLE
L-100051,AVAILABLE
L-100536,AVAILABLE
L-100247,AVAILABLE
L-100981,AVAILABLE
L-100265,AVAILABLE
L-100263,AVAILABLE
L-100936,AVAILABLE
L-100260,AVAILABLE
L-100048,AVAILABLE
L-100563,AVAILABLE
L-100146,AVAILABLE
L-100788,AVAILABLE
L-100595,AVAILABLE
L-100273,AVAILABLE
L-100420,AVAILABLE
L-100129,AVAILABLE
L-100725,MISSING
L-100534,AVAILABLE
L-100001,AVAILABLE
L-100912,AVAILABLE
L-100369,AVAILABLE
L-100571,AVAILABLE
L-100488,AVAILABLE
L-100632,AVAILABLE
L-100773,AVAILABLE
L-100736,AVAILABLE
L-100398,AVAILABLE
L-100205,AVAILABLE
L-100908,MISSING
L-100905,AVAILABLE
L-100417,AVAILABLE
L-100758,AVAILABLE
L-100198,AVAILABLE
L-100391,AVAILABLE
L-100637,AVAILABLE
L-100800,AVAILABLE
L-100506,AVAILABLE
L-100590,AVAILABLE
L-100804,AVAILABLE
L-100304,AVAILABLE
L-100493,AVAILABLE
L-100156,AVAILABLE
L-100378,AVAILABLE
L-100690,AVAILABLE
L-100654,AVAILABLE
L-100667,AVAILABLE
L-100084,AVAILABLE
L-100810,AVAILABLE
L-100122,AVAILABLE
L-100987,MISSING
L-100741,AVAILABLE
L-100843,AVAILABLE
L-100125,AVAILABLE
L-100549,AVAILABLE
L-100034,AVAILABLE
,AVAILABLE
L-100726,AVAILABLE
L-100756,AVAILABLE
L-100132,AVAILABLE
L-100368,AVAILABLE
L-100619,AVAILABLE
L-100298,AVAILABLE
L-100115,AVAILABLE
L-100165,MISSING
L-100295,AVAILABLE
L-100733,AVAILABLE
L-100292,AVAILABLE
L-100663,AVAILABLE
L-100760,AVAILABLE
L-100972,MISSING
L-100858,AVAILABLE
L-100239,AVAILABLE
L-100326,AVAILABLE
L-100458,AVAILABLE
L-100517,MISSING
L-100395,MISSING
L-100072,MISSING
L-100371,AVAILABLE
L-100623,AVAILABLE
L-100578,AVAILABLE
L-100897,AVAILABLE
L-100220,AVAILABLE
L-100102,AVAILABLE
L-100560,MISSING
L-100574,AVAILABLE
L-100867,AVAILABLE
L-100783,AVAILABLE
L-100556,AVAILABLE
L-100976,AVAILABLE
L-100659,MISSING
L-100090,AVAILABLE
L-100148,AVAILABLE
L-100097,AVAILABLE
L-100492,MISSING
L-100113,AVAILABLE
L-100049,AVAILABLE
L-100943,MISSING
L-100423,AVAILABLE
L-100351,AVAILABLE
L-100077,AVAILABLE
L-100993,AVAILABLE
L-100476,MISSING
L-100822,AVAILABLE
L-100349,AVAILABLE
L-100232,AVAILABLE
L-100906,AVAILABLE
L-100754,AVAILABLE
L-100050,AVAILABLE
L-100421,AVAILABLE
L-100078,MISSING
L-100576,AVAILABLE
L-100015,AVAILABLE
L-100401,AVAILABLE
L-100723,MISSING
L-100675,AVAILABLE
L-100460,AVAILABLE
L-100485,AVAILABLE
L-100419,AVAILABLE
L-100267,AVAILABLE
L-100256,AVAILABLE
L-100191,AVAILABLE
L-100688,AVAILABLE
L-100747,MISSING
L-100043,MISSING
L-100018,AVAILABLE
L-100639,AVAILABLE
L-100751,AVAILABLE
L-100845,AVAILABLE
L-100730,AVAILABLE
L-100294,AVAILABLE
L-100710,AVAILABLE
L-100505,AVAILABLE
L-100985,AVAILABLE
L-100543,AVAILABLE
L-100615,AVAILABLE
L-100297,AVAILABLE
L-100691,AVAILABLE
L-100721,AVAILABLE
L-100422,AVAILABLE
L-100381,AVAILABLE
L-100752,AVAILABLE
L-100716,AVAILABLE
L-100704,AVAILABLE
L-100367,AVAILABLE
L-100542,AVAILABLE
L-100194,AVAILABLE
L-100591,MISSING
L-100961,AVAILABLE
L-100461,AVAILABLE
L-100991,AVAILABLE
L-100233,AVAILABLE
L-100744,AVAILABLE
L-100134,MISSING
L-100288,MISSING
L-100537,AVAILABLE
L-100983,AVAILABLE
L-100310,AVAILABLE
L-100780,AVAILABLE
L-100262,AVAILABLE
L-100073,AVAILABLE
L-100508,AVAILABLE
L-100980,AVAILABLE
L-100240,AVAILABLE
L-100895,AVAILABLE
L-100188,AVAILABLE
L-100901,AVAILABLE
L-100071,AVAILABLE
L-100518,AVAILABLE
L-100763,MISSING
L-100909,AVAILABLE
L-100363,AVAILABLE
L-100753,AVAILABLE
L-100416,AVAILABLE
L-100456,AVAILABLE
L-100163,AVAILABLE
L-100330,AVAILABLE
L-100624,AVAILABLE
L-100850,AVAILABLE
L-100764,AVAILABLE
L-100303,AVAILABLE
L-100582,AVAILABLE
L-100527,AVAILABLE
L-100462,MISSING
L-100684,AVAILABLE
L-100170,AVAILABLE
L-100698,AVAILABLE
L-100525,AVAILABLE
L-100053,AVAILABLE
L-100837,AVAILABLE
L-100911,AVAILABLE
L-100396,AVAILABLE
L-100311,AVAILABLE
L-100248,AVAILABLE
L-100809,AVAILABLE
L-100278,AVAILABLE
L-100611,AVAILABLE
L-100067,AVAILABLE
L-100670,AVAILABLE
L-100650,AVAILABLE
L-100969,MISSING
L-100281,AVAILABLE
L-100312,AVAILABLE
L-100264,AVAILABLE
L-100235,AVAILABLE
L-100942,AVAILABLE
L-100469,MISSING
L-100430,AVAILABLE
L-100594,AVAILABLE
L-100813,AVAILABLE
L-100608,AVAILABLE
L-100237,AVAILABLE
L-100917,AVAILABLE
L-100995,AVAILABLE
L-100729,AVAILABLE
L-100180,AVAILABLE
L-100504,AVAILABLE
L-100727,AVAILABLE
L-100757,MISSING
L-100852,MISSING
L-100767,AVAILABLE
L-100797,AVAILABLE
L-100061,AVAILABLE
L-100863,AVAILABLE
L-100353,AVAILABLE
L-100234,AVAILABLE
L-100789,AVAILABLE
L-100440,AVAILABLE
L-100963,AVAILABLE
L-100651,AVAILABLE
L-100888,AVAILABLE
L-100354,AVAILABLE
L-100457,AVAILABLE
L-100677,AVAILABLE
L-100907,AVAILABLE
L-100584,AVAILABLE
L-100705,AVAILABLE
L-100449,AVAILABLE
L-100672,AVAILABLE
L-100155,AVAILABLE
L-100190,AVAILABLE
L-100926,AVAILABLE
L-100934,AVAILABLE
L-100334,AVAILABLE
L-100183,AVAILABLE
L-100530,AVAILABLE
L-100254,AVAILABLE
L-100358,AVAILABLE
L-100091,AVAILABLE
L-100179,AVAILABLE
L-100026,AVAILABLE
L-100238,AVAILABLE
L-100728,AVAILABLE
L-100413,AVAILABLE
L-100931,AVAILABLE
L-100162,AVAILABLE
L-100823,AVAILABLE
L-100766,MISSING
L-100114,AVAILABLE
L-100655,AVAILABLE
L-100028,AVAILABLE
L-100910,AVAILABLE
L-100610,AVAILABLE
L-100955,AVAILABLE
L-100918,AVAILABLE
L-100202,AVAILABLE
L-100550,AVAILABLE
L-100874,AVAILABLE
L-100602,AVAILABLE
L-100152,AVAILABLE
L-100139,AVAILABLE
L-100643,AVAILABLE
L-100341,AVAILABLE
L-100947,AVAILABLE
L-100107,AVAILABLE
L-100409,AVAILABLE
L-100834,AVAILABLE
L-100359,AVAILABLE
L-100777,AVAILABLE
L-100157,AVAILABLE
L-100817,AVAILABLE
L-100707,AVAILABLE
L-100548,AVAILABLE
L-100301,AVAILABLE
L-100732,MISSING
L-100222,AVAILABLE
L-100003,AVAILABLE
L-100538,AVAILABLE
L-100734,AVAILABLE
L-100812,AVAILABLE
L-100928,AVAILABLE
L-100787,AVAILABLE
L-100299,MISSING
L-100117,AVAILABLE
L-100014,AVAILABLE
L-100057,AVAILABLE
L-100793,AVAILABLE
L-100826,AVAILABLE
L-100345,AVAILABLE
L-100105,AVAILABLE
L-100439,AVAILABLE
L-100531,AVAILABLE
L-100447,MISSING
L-100253,AVAILABLE
L-100507,AVAILABLE
L-100025,AVAILABLE
L-100673,AVAILABLE
L-100414,AVAILABLE
,AVAILABLE
L-100382,AVAILABLE
L-100249,AVAILABLE
L-100375,AVAILABLE
L-100958,AVAILABLE
L-100481,AVAILABLE
L-100223,AVAILABLE
L-100377,AVAILABLE
L-100444,AVAILABLE
L-100765,AVAILABLE
L-100140,MISSING
L-100175,MISSING
L-100774,AVAILABLE
L-100433,AVAILABLE
L-100319,MISSING
L-100660,AVAILABLE
L-100597,AVAILABLE
L-100141,MISSING
L-100658,AVAILABLE
L-100199,MISSING
L-100898,AVAILABLE
L-100894,AVAILABLE
L-100108,MISSING
L-100164,AVAILABLE
L-100282,AVAILABLE
L-100316,AVAILABLE
L-100893,AVAILABLE
L-100830,AVAILABLE
L-100056,AVAILABLE
L-100546,AVAILABLE
L-100184,MISSING
L-100540,AVAILABLE
L-100287,AVAILABLE
L-100803,AVAILABLE
L-100564,AVAILABLE
L-100486,AVAILABLE
